CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Marina Bay Sands (MBS),"$7.49 for 1st hr, $1.07 for next subsequent 30min up to a maximum charge of $26.00/24hr from 7am to 7pm",$7.49/entry from 7pm to 7am the following day from Mon-Thurs,"$8.56 for 1st hr, $1.07 for next subsequent 30min up to a maximum charge of $27.82/24hr from 7am to 7pm, $8.56/entry from 7pm to 7am the following day from Fri to Sun","$8.56 for 1st hr, $1.07 for next subsequent 30min up to a maximum charge of $27.82/24hr from 7am to 7pm, $8.56/entry from 7pm to 7am the following day from Fri to Sun","10 Bayfront Ave, S(018970)","1.2822176,103.8592173"
Marina Country Club,"$1.20 for 1st hr, $2.40 for the 2nd hr, $3.60/hr for parking above 3hr from 5.01am to 5am the following day","$1.20 for 1st hr, $2.40 for the 2nd hr, $3.60/hr for parking above 3hr from 5.01am to 5am the following day",Charges same as weekdays,Charges same as weekdays,11 Northshore Drive S(828670),"1.4154673,103.8990783"
Marina One,$1.07/10min from 6am to 5.59pm,$3.21/entry from 6pm to 5.59am the following day,$3.21/entry from 6am to 5.59am the following day,$3.21/entry from 6am to 5.59am the following day,"5 Straits View, S(018935)","1.2782987,103.8525394"
Marina South Pier (MSP),"$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm",$3.30/entry from 10.30pm to 7am the following day,"$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm, $3.30/entry from 10.30pm to 7am the following day","$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm, $3.30/entry from 10.30pm to 7am the following day","31 Marina Coastal Drive, S(018988)","1.2708997,103.8632543"
Marina Square,"(Mon to Thurs) (7am to 5pm) $2.20 for 1st 2hr, $1.10 for next subsequent 30min",(Mon to Thurs) (5pm to 2am next day) $2.20/entry. (2am to 7am) $1.10/30min,"(Fri to Sun) (7am to 2am next day) $2.40 for 1st 2hr, $1.20/hr for next subsequent 2hr, subsequently $1.40/30min. (2am to 7am) $1.10/30min","(Fri to Sun) (7am to 2am next day) $2.40 for 1st 2hr, $1.20/hr for next subsequent 2hr, subsequently $1.40/30min. (2am to 7am) $1.10/30min","6 Raffles Boulevard, S(039594)","1.2909336,103.8573824"
Marine Parade Central Market and Food Centre,$0.80/30min from 8am to 8pm,$0.60/30min from 8pm to 8am the following day,"$0.80/30min from 8am to 8pm, $0.60/30min from 8pm to 8am the following day","$0.80/30min from 8am to 8pm, $0.60/30min from 8pm to 8am the following day","84 Marine Parade Central, S(440084)","1.3022557,103.9065544"
Maritime House,Private Carpark,Private Carpark,Private Carpark,Private Carpark,"120 Cantonment Road, S(089760) ","1.276612,103.840361"
Maritime Square D Off Street,$0.50/30min from 7am to 7am the following day,$0.50/30min from 7am to 7am the following day,Charges same as weekdays,Charges same as weekdays,"1 Maritime Square, S(099253) ","1.2642175,103.8203582"
Market Street Car Park,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"146 Market Street, S(048945)","1.2818114,103.8501129"
Marsh and McLennan Centre,$1.80/30min from 8am to 5.59pm,$3.00/entry from 6pm to 7.59am the following day,"$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","18 Cross Street, S(048423)","1.2835867,103.8470853"
Marsiling Mall,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"4 Woodlands Street 12, S(738623)","1.4334888,103.7797903"
MAS Building,Season Parking Only,Season Parking Only,Season And Tenant Parking Only,Season And Tenant Parking Only,"10 Shenton Way, S(079117)","1.2748177,103.8467157"
Masjid Hajjah Fatimah Mosque,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"4001 Beach Road, S(199584)","1.3029317,103.8629148"
Masjid Jamae Chulia Mosque,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"218 South Bridge Road, S(058767)","1.2831592,103.8454525"
Maxwell Food Centre,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"2 Murray Street, S(079519)","1.279543,103.844466"
Maxwell House,$1.40/30min or part thereof from 6.30am to 5pm,"$3.00/entry from 5pm to 10pm, $2.00/entry from 10pm to 6.30am the following day",Charges same as weekdays,"$3.00/entry from 6.30am to 10pm, $2.00/entry from 10pm to 6.30am the following day",38 Maxwell Road S(069116),"1.2788889,103.8450403"
MCYS Building,$0.80/30min from 7.30am to 6pm,$1.60/entry from 6.01pm to 7.30am the following day,"$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day","$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day","512 Thomson Road, S(298136)","1.3336676,103.8396503"
Mediacorp,$1.07/hr up to a maximum charge of $6.42/day from 7am to 6pm,$2.14/entry from 6pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,"1 Stars Ave, S(138507)","1.2955921,103.7921948"
Mediapolis @ One-North,(Mon-Thurs) $0.60/30min from 7am to 7pm,(Mon-Thurs) $0.60/30min from 7pm to 7am the following day,"(Fri-Sat) $0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm","$0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm","31 Media Circle, S(138564)","1.2950368,103.7933818"
Memories at Old Ford Factory (MOFF),Free Parking,Free Parking,Free Parking,Free Parking,"351 Upper Bukit Timah Road, S(588192)","1.3526291,103.7690097"
Merchant Square,Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,"1 Angus Street, S(058275)","1.2884603,103.843518"
Mercure Singapore Bugis,"$5.25 for 1st hr, $2.25 for subsequent 30min from 8am to 5pm","$5.25 for 1st hr, $2.14 for subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"112 Middle Road, S(188973)","1.2990794,103.8537523"
MICA Building,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"140 Hill Street, S(179369)","1.2907381,103.8481312"
Midlink Plaza,Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,"122 Middle Road, S(188973)","1.2995871,103.8529888"
Midpoint Orchard,No Car Park,No Car Park,No Car Park,No Car Park,"220 Orchard Road, S(238852)","1.3017106,103.838732"
Midview City,"1st hr free, $1.00/hr from 7am to 7pm","Free parking from 7pm to 12midnight, $6.00/entry from 12midnight to 7am the following day","Free parking from 7am to 12midnight, overnight charge from 12midnight to 7am the following day","Free parking from 7am to 12midnight, overnight charge from 12midnight to 7am the following day",18 Sin Ming Lane S(573960),"1.3586404,103.8340972"
Millage,"$1.20 for 1st hr, $0.60 for next subsequent 30min or part thereof","$1.20 for 1st hr, $0.60 for next subsequent 30min or part thereof",Charges same as weekdays,Charges same as weekdays,"55 Changi Road, S(419709)","1.316914,103.899011"
Millenia Tower,"$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm",$2.20/entry from 6pm to 7am the following day,"$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","1 Temasek Avenue, S(039192)","1.2931797,103.8606995"
Millenia Walk (Basement Car Park),"$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm",$2.20/entry from 6pm to 7am the following day,"$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","9 Raffles Boulevard, S(039596)","1.2920715,103.859851"
Millenia Walk (Surface Car Park),"$4.40 for 1st hr, $1.65 for next subsequent 30min from 7am to 6pm","$4.40 for 1st 2hr, $1.65 for next subsequent hr from 6pm to 7am the following day","$4.40 for 1st 2hr, $1.65 for next subsequent hr from 7am to 7am the following day","$4.40 for 1st 2hr, $1.65 for next subsequent hr from 7am to 7am the following day","9 Raffles Boulevard, S(039596)","1.2920715,103.859851"
Ministry of Education Building (MOE),"$1.80 for 1st 2hr, $3.00 for next subsequent hr from 7am to 5pm","$1.80 for 1st 2hr, $3.00 for next subsequent hr from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"1 North Buona Vista Drive, S(138675)","1.3054021,103.7909271"
Ministry of Manpower (MOM),Not for public,Not for public,Not for public,Not for public,"18 Havelock Road, S(059764)","1.287552,103.8441793"
Miramar Hotel,"$2.68 for 1st hr, $1.07 for next subsequent 30min from 7am to 5pm",$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,$3.75/entry from 7am to 7am the following day,"401 Havelock Road, S(169631)","1.288174,103.8374764"
MOH College of Medicine,Not applicable,$0.60/30min from 5.30pm to 7am the following day,$0.60/30min from 7am to 7am the following day,$0.60/30min from 7am to 7am the following day,"16 College Road, S(169854)","1.2804428,103.8336786"
Mount Alvernia Hospital,"$2.50 for 1st hr, $1.50 for next subsequent 30min from 7am to 10pm",$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"820 Thomson Road, S(574623)","1.3420964,103.8379293"
Mount Elizabeth Hospital,"$2.50/30min from 6.30am to 8am, $3.30/30min from 8am to 11am, $3.00/30min from 11am to 6.30pm",$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,"$4.00/entry from 6.30am to 6.30pm, $4.00/entry from 6.30pm to 6.30am the following day","3 Mount Elizabeth, S(228510)","1.3055915,103.8354837"
Mount Elizabeth Novena Hospital,"$3.20 for 1st hr, $1.80 for next subsequent 30min from 7am to 4.59pm",$3.00/entry from 5pm to 6.59am the following day,Charges same as weekdays,$3.00/entry from 12am to 11.59pm,38 Irrawaddy Road S(329563) ,"1.322236,103.8440388"
Mount Faber Park,Free Parking,Free Parking,Free Parking,Free Parking,"109 Mount Faber Road, S(099203)","1.2713774,103.8192945"
Mount Sophia,"$1.40/30min from 8am to 9.59am, $1.40/hr from 10am to 9.59pm",$3.00/entry from 10pm to 7.59am the following day,"$1.40/hr from 8am to 9.59pm, $3.00/entry from 10pm to 7.59am the following day","$1.40/hr from 8am to 9.59pm, $3.00/entry from 10pm to 7.59am the following day",Mount Sophia,"1.30115,103.8466284"
Mountbatten Square,$1.20/hr from 6am to 5.59pm,$3.00/entry from 6pm to 5.59am the following day,Charges same as weekdays,Charges same as weekdays,"229 Mountbatten Road, S(398007)","1.3076428,103.8811865"
Mustafa Centre,"1st hr free, $1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, $1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,"145 Syed Alwi Road, S(207704)","1.3095729,103.8559556"
myVillage@Serangoon Garden,$2.00/hr from 7am to 7am the following day,$2.00/hr from 7am to 7am the following day,Charges same as weekdays,Charges same as weekdays,"1 Maju Avenue #02-03/04/05/06, S(556679)","1.3650428,103.8651508"
Nankin Row,$1.80/30min from 8am to 5.59pm,$3.00/entry from 6pm to 7.59am the following day,"$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","3 Pickering Street, S(048660)","1.2848894,103.8476821"
Nanyang Academy Of Fine Arts (NAFA),$1.07/30min from 7am to 9.59pm,$2.14/entry from 10pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"80 Bencoolen Street, S(189655)","1.2997784,103.8519094"
Nanyang Polytechnic,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 10.30pm,$0.60/30min from 7am to 10.30pm,Free parking from 7am to 10.30pm,"180 Ang Mo Kio Ave 8, S(569830)","1.3784382,103.8485274"
National Archives of Singapore (NAS),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"1 Canning Rise, S(179868)","1.2933077,103.8483525"
"National Cancer Centre, Singapore (NCCS)",$0.036/min from 7am to 6pm,$0.036/min from 7am to 6pm,$0.036/min from 7am to 2pm,Charges same as weekdays,"11 Hospital Drive, S(169610)","1.2794262,103.8366349"
National Dental Centre,$0.035/min from 7am to 9.59pm,$2.14/entry from 10pm to 6.59am the following day,Charges same as weekdays,"$0.018/min from 7am to 9.59pm, $0.65/entry from 10pm to 6.59am the following day","5 Second Hospital Avenue, S(168938)","1.279768,103.838629"
National Gallery Singapore,$1.30/30min from 7am to 6pm,$3.20/entry from 6pm to 1am the following day,Charges same as weekdays,Charges same as weekdays,"1 Saint Andrew's Road, S(178957)","1.2897045,103.8512862"
National Heart Centre Singapore,$0.036/min from 7am to 9.59pm,$2.14/entry from 10pm to 6.59am the following day,"$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day","$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day","5 Hospital Drive, S(169609)","1.2784935,103.8361514"
National Institute of Education (NIE),"Car Park 1 - $0.02/min, Car Park 2, 3, 5 and 7 - $0.01/min up to a maximum charge of $4.80, Car Park 4 - $0.01/min up to a maximum charge of $2.40 from 5am to 5.45pm",Free parking after 5.45pm,Free parking,Free parking,"1 Nanyang Walk, S(637616)","1.3491215,103.6791117"
National Sailing Centre,"$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 5pm","$1.28 for 1st hr, $0.64 for next subsequent 30min from 5.01pm to 7am the following day","$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 7am the following day","$1.28 for 1st hr, $0.64 for next subsequent 30min from 7.01am to 7am the following day","1500 East Coast Parkway, S(468963)","1.315169,103.9617576"
National Service Resort Country Club (NSRCC),"(For Member): Free, (For Public): $2.15/entry from 6am to 5pm","(For Member): Free, (For Public): $2.15/entry from 5pm to 12midnight",$0.80/30min with max of $12.80 from 6am to 12midnight,$0.80/30min with max of $12.80 from 6am to 12midnight,"10 Changi Coast Walk, S(499739)","1.3169199,103.9755308"
National Skin Centre,"$2.20 for 1st hr, $0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,"1 Mandalay Road, S(308205)","1.3197408,103.8490215"
National University Hospital (NUH),$0.035/min from 12midnight to 12midnight the following day,$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"5 Lower Kent Ridge Road, S(119074)","1.2937427,103.7834188"
Naumi Hotel,"$1.50 for 1st 30min, $1.20 for next subsequent 30min from 8am to 5pm",$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,$3.00/entry from 8am to 8am the following day,"41 Seah Street, S(188396)","1.2959209,103.8551632"
NCS Hub,"$1.07 for 1st hr, $0.75 for next subsequent 30min up to a maximum charge of $10.70","$1.07 for 1st hr, $0.75 for subsequent hr up to a maximum charge of $10.70",Charges same as weekdays,Charges same as weekdays,"5 Ang Mo Kio Street 62, S (569141)
","1.3876981,103.8441793"
Negara Hotel,"$5.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm",$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,$5.00/entry from 7am to 7am the following day,"10 Claymore Road, S(229540)","1.3075828,103.8298653"
Neil Road,$1.20/30min from 7am to 5pm,"$0.60/30min from 5pm to 7am the following day, Parking charges capped at $5.60 from 10.30pm to 7am the following day",Charges same as weekdays,"$0.60/30min from 7am to 7am the following day, Parking charges capped at $5.60 from 10.30pm to 7am the following day",Neil Road,"1.2780461,103.8405117"
New Majestic Hotel,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"31 Bukit Pasoh Road, S(089845)","1.279295,103.840375"
New Parliament House,$1.36/30min from 8am to 6pm,$2.39 per 4hr block from 6.01pm to 7.59am the following day,Charges same as weekdays,$2.39 per 4hr block from 8am to 7.59am the following day,"1 Parliament Place, S(178880)","1.2890871,103.8508373"
New Tech Park,$1.40/hr from 7.01am to 6pm,$1.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,$2.00/entry from 7.01am to 7am the following day,"151 Lorong Chuan, S(556741)","1.3526598,103.8598608"
NEWater Visitor Centre,Free parking,Car park closed after 5.30pm,Charges same as weekdays,Charges same as weekdays,"20 Koh Sek Lim Road, S(486593)","1.32419,103.958696"
Newton Circus Food Centre,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"Clemenceau Ave North, S(229491)","1.3094482,103.8397072"
Nex Mall,"$1.30 for 1st hr, $0.65 for next subsequent 30min from 7am to 5pm","$1.30 for 1st hr, $0.65 for next subsequent 30min from 5pm to 7am the following day","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day","23 Serangoon Central, S(556083)","1.3506853,103.8719911"
Ngee Ann Polytechnic,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 10.30pm,Charges same as weekdays,Charges same as weekdays,"535 Clementi Road, S(599489)","1.3320607,103.7743575"
Noel Corporate Building,"$2.14 for 1st hr, $1.20 for next subsequent 30min from 8am to 5pm","$2.14 for 1st hr, $1.20 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"50 Kallang Avenue, S(339505)","1.3127294,103.866645"
North Bridge Centre,$1.50/30min from 8am to 4.59pm,$4.00/entry from 5pm to 11pm,Charges same as weekdays,$4.00/entry from 8am to 11pm,"420 North Bridge Road, S(188727)","1.297193,103.8549477"
Northpoint City,"$1.20 for 1st hr, $0.80 for next subsequent 30min from 7am to 7pm","$1.20 for 1st hr, $0.80 for next subsequent 30min from 7pm to 1am the following day",Charges same as weekdays,Charges same as weekdays,"930 Yishun Avenue 2, S(769098)","1.42959,103.8357694"
Novena Gardens,"$2.40 for 1st hr, $0.90 for next subsequent 30min from 7am to 5pm","$2.40 for 1st hr, $0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"273 Thomson Road, S(307644)","1.320243,103.8418921"
Novena Regency,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 5am to 5pm",$2.50/entry from 5pm to 5am the following day,Charges same as weekdays,Charges same as weekdays,"275 Thomson Road, S(307645)","1.3212495,103.8415959"
Novotel Singapore Clarke Quay,$1.28/hr from 7am to 6pm,$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but $3.21/entry after 1pm,Charges same as weekdays but $3.28/entry from 1pm to 7am the following day,"177A River Valley Road, S(179031)","1.2916066,103.8450022"
Novotel Singapore On Stevens,$3.00/hr from 7.01am-12pm and from 2.31pm-6pm,$3.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"28 Stevens Road, S(257878)","1.3135351,103.8291075"
NTFGH - Ng Teng Fong General Hospital,$0.03/min from 7am to 7pm,$0.03/min from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"1 Jurong East Street 21, S(609606)","1.333841,103.7452086"
NTU Car Park (ADM),"$0.15/min from 8am to 6pm, maximum charge of $3.60/day",Free parking after 6pm,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
"NTU Car Park (C, D, E, F, G, I, J, P, Q, R, S, Hall 7)","$0.015/min from 8am to 6pm, maximum charge of $3.60/day",Free parking after 6pm,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU Car Park (Canteen 2),Free Parking,Free Parking,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
"NTU Car Park (H3, H4, H6, H8, H16, GH, NEC, SRC)",Free Parking,Free Parking,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
"NTU Car Park (Nanyang Heights, Nanyang Meadow, Nanyang View)",Free Parking,Free Parking,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU Car Park (SPMS),"$0.15/min from 8am to 6pm, maximum charge of $3.60/day",Free parking after 6pm,Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU Car Park A (North Academic Complex),$0.02/min from 8am to 6pm,"$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU Car Park B (South Academic Complex),"$0.02/min from 8am to 6pm, maximum charge of $4.80/day","$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU RTP Car Park (Research Techno Plaza),"$0.02/min from 8am to 6pm, maximum charge of $4.80/day","$1.20/entry from 6pm to 10pm, Free parking from 10pm to 8am the following day",Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTU SBS Car Park (School of Biological Sciences),"$0.02/min from 8am to 6pm, maximum charge of $4.80/day","$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,"50 Nanyang Avenue, S(639798)","1.3442459,103.6803242"
NTUC Income Centre,$1.10/30min from 6.30am to 5pm,$3/entry from 5pm to 11pm,Charges same as weekdays,$3/4hr block or part thereof from 12am to 12am the following day,"75 Bras Basah Road, S(189557)","1.2965622,103.8517149"
NTUC Income Tampines Junction,"$1.50/hr for 1st hr, $0.75 for next subsequent 30min from 6am to 6pm",$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,$3.00/entry from 6am to 6am the following day,"300 Tampines Avenue 5, S(529653)","1.3522541,103.9418625"
NTUC Income Tampines Point,"$1.50/hr for 1st hr, $0.75 for next subsequent 30min from 6am to 6pm",$3.00/entry from 6pm to 6am the following day,Charges same as weekdays,$3.00/entry from 6am to 6am the following day,"2 Tampines Central 6, S(529483)","1.3526533,103.9424517"
NTUC Prinsep House,$1.25/30min from 7am to 5.59pm,$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"30 Prinsep Street, S(188647)","1.2989668,103.8494785"
NUS Bukit Timah Campus,"*$0.02/min from 7am to 10.30pm, maximum charge of $2.00 for vehicles entering from 7pm to 10.30pm, 1st hr free parking for vehicles entering from 11am to 5pm",*Free parking from 10.31pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"469G Bukit Timah Road, S(259776)","1.3190722,103.8168807"
NUS Car Park 10 - Faculty of Science,*For staff season carpark holders only,*For staff season carpark holders only,*For staff season carpark holders only,*For staff season carpark holders only,Lower Kent Ridge Road,"1.2971291,103.7794803"
NUS Car Park 10A - CRISPS,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Kent Ridge Road,"1.2971291,103.7794803"
NUS Car Park 10B - Prince George's Park Residences,$0.0214/min from 8.30am to 7.30pm (capped at $2.568 for registered staff and students from 8.30am to 6pm),Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking from 8.30am to 8.29am the following day,Prince George's Park,"1.2926245,103.7793885"
NUS Car Park 11 - In front of IMRE,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Research Link,"1.2953167,103.7747695"
NUS Car Park 12 - Hon Sui Sen Memorial Library,*For staff season carpark holders only,*For staff season carpark holders only,*For staff season carpark holders only,*For staff season carpark holders only,Hon Sui Sen Drive,"1.2927731,103.7738717"
NUS Car Park 12A - Institute of Systems Science,"*$0.0214/min from 8.30am to 7.30pm, maximum charge of $2.568 for vehicles entering from 8.30am to 6pm and $1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*$0.0214/min up to a maximum charge of $2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,"22 Heng Mui Keng Terrace, S(119615)","1.2916179,103.7763113"
NUS Car Park 12B - ICube,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min up to a maximum charge of $2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,21 Heng Mui Keng Terrace,"1.2924684,103.7756614"
NUS Car Park 15 - In front of Temask and Eusoff Halls,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Kent Ridge Drive,"1.2933972,103.7721898"
NUS Car Park 16 - Lecture Theatre 11,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Kent Ridge Drive,"1.2933972,103.7721898"
NUS Car Park 2,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Engineering Drive 1,"1.3004977,103.7715558"
NUS Car Park 2A - In front of Block E3A,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Engineering Drive 1,"1.3004977,103.7715558"
NUS Car Park 2B,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Engineering Drive 1,"1.3004977,103.7715558"
NUS Car Park 3 - Yong Siew Toh Conservatory of Music,$0.0214/min from 8.30am to 7.30pm (capped at $2.568 for registered staff and students from 8.30am to 6pm),Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking from 8.30am to 8.29am the following day,Estate Office Drive,"1.3015781,103.7742731"
NUS Car Park 4 - Raffles Hall / CFA Studios,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Kent Ridge Crescent,"1.2979333,103.7731789"
NUS Car Park 5 - Sports and Recreation Centre,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Sports Drive 2,"1.3006468,103.77459"
NUS Car Park 6B - University Hall,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min up to a maximum charge of $2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,Lower Kent Ridge Road,"1.2971291,103.7794803"
NUS Car Park Car Park 1 - In front of SDE,$0.0214/min from 8.30am to 7.30pm,Free parking from 7.31pm to 8.29am the following day,"$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",Free parking whole day from 8.30am to 8.29am the following day,4 Architecture Drive,"1.2976566,103.7705264"
